F, концентрация, uгр/гр;R_F_Concentaration
Hf, концентрация, uгр/гр;R_Hf_Concentaration
Hf, погрешность, %;R_Hf_Error
Hf, предел обнаружения, uгр/гр;R_Hf_Detection_Limit
Ta, концентрация, uгр/гр;R_Ta_Concentaration
Ta, погрешность, %;R_Ta_Error
Ta, предел обнаружения, uгр/гр;R_Ta_Detection_Limit
W, концентрация, uгр/гр;R_W_Concentaration
W, погрешность, %;R_W_Error
W, предел обнаружения, uгр/гр;R_W_Detection_Limit
Re, концентрация, uгр/гр;R_Re_Concentaration
Re, погрешность, %;R_Re_Error
Re, предел обнаружения, uгр/гр;R_Re_Detection_Limit
Os, концентрация, uгр/гр;R_Os_Concentaration
Os, погрешность, %;R_Os_Error
Os, предел обнаружения, uгр/гр;R_Os_Detection_Limit
Ir, концентрация, uгр/гр;R_Ir_Concentaration
Ir, погрешность, %;R_Ir_Error
Ir, предел обнаружения, uгр/гр;R_Ir_Detection_Limit
Pt, концентрация, uгр/гр;R_Pt_Concentaration
Pt, погрешность, %;R_Pt_Error
Pt, предел обнаружения, uгр/гр;R_Pt_Detection_Limit
Au, концентрация, uгр/гр;R_Au_Concentaration
Au, погрешность, %;R_Au_Error
Au, предел обнаружения, uгр/гр;R_Au_Detection_Limit
Hg, концентрация, uгр/гр;R_Hg_Concentaration
Hg, погрешность, %;R_Hg_Error
Hg, предел обнаружения, uгр/гр;R_Hg_Detection_Limit
Th, концентрация, uгр/гр;R_Th_Concentaration
Th, погрешность, %;R_Th_Error
Th, предел обнаружения, uгр/гр;R_Th_Detection_Limit
U, концентрация, uгр/гр;R_U_Concentaration
U, погрешность, %;R_U_Error
U, предел обнаружения, uгр/гр;R_U_Detection_Limit
